PRIORITY,ID_2MASS,RA_DEG,DEC_DEG,EPOCH,H_MAG,H_MAG_SOURCE,PM_RA,PM_DEC,PM_SOURCE,TYPE,APOGEE_COMMENT,AT1,AT2,AT3,APOGEE_COMMENT2
HIGH,J18541888-3058165,283.57875,-30.97111,2000.0,11.241,2MASS,0.400,1.200,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18564670-3016207,284.19458,-30.27222,2000.0,11.362,2MASS,-2.100,-1.200,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18562127-3057549,284.08875,-30.96500,2000.0,11.392,2MASS,-0.600,1.000,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18544441-3035355,283.68500,-30.59306,2000.0,11.432,2MASS,-3.900,0.800,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18531207-3042410,283.30042,-30.71139,2000.0,11.521,2MASS,3.200,-1.600,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18543089-3022482,283.62875,-30.38000,2000.0,11.769,2MASS,-1.100,-2.500,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18561754-3039054,284.07292,-30.65139,2000.0,12.653,2MASS,-16.400,8.200,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18555179-3030590,283.96542,-30.51639,2000.0,12.791,2MASS,-4.900,3.800,UCAC4,STAR,Battaglia_MP_Sgr;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18550374-3055014,283.76560,-30.91710,2000.0,11.417,2MASS,0.422,-3.937,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18545206-3039058,283.71700,-30.65160,2000.0,11.520,2MASS,0.443,2.082,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18560782-3048289,284.03260,-30.80800,2000.0,11.725,2MASS,7.012,9.559,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18544217-3054051,283.67570,-30.90140,2000.0,11.858,2MASS,-0.131,-1.350,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18553060-3047381,283.87750,-30.79390,2000.0,12.189,2MASS,0.000,0.000,None,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18541666-3036019,283.56950,-30.60050,2000.0,12.408,2MASS,7.749,-4.026,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18542499-3031568,283.60410,-30.53250,2000.0,12.736,2MASS,-5.803,-7.580,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18552958-3024306,283.87330,-30.40850,2000.0,12.796,2MASS,0.537,-2.982,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18541964-3046431,283.58190,-30.77870,2000.0,12.899,2MASS,-0.977,-5.383,HSOY,STAR,Frinchaboy2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18550213-3033093,283.75900,-30.55300,2000.0,10.976,2MASS,0.000,0.000,None,STAR,Majewski2013;RVVAR_TARG,26,-0,-0,RVVAR_TARG
